baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20250630,0500,PTY,20250701,0400,0,55,124
20250630,0500,POP,20250701,0400,30,55,124
20250630,0500,WAV,20250701,0400,-999,55,124
20250630,0500,PCP,20250701,0400,강수없음,55,124
20250630,0500,REH,20250701,0400,95,55,124
20250630,0500,SNO,20250701,0400,적설없음,55,124
20250630,0500,TMP,20250701,0500,24,55,124
20250630,0500,UUU,20250701,0500,1.4,55,124
20250630,0500,VVV,20250701,0500,2,55,124
20250630,0500,VEC,20250701,0500,215,55,124
20250630,0500,WSD,20250701,0500,2.4,55,124
20250630,0500,SKY,20250701,0500,4,55,124
20250630,0500,PTY,20250701,0500,0,55,124
20250630,0500,POP,20250701,0500,30,55,124
20250630,0500,WAV,20250701,0500,-999,55,124
20250630,0500,PCP,20250701,0500,강수없음,55,124
20250630,0500,REH,20250701,0500,95,55,124
20250630,0500,SNO,20250701,0500,적설없음,55,124
20250630,0500,TMP,20250701,0600,24,55,124
20250630,0500,UUU,20250701,0600,1.6,55,124
20250630,0500,VVV,20250701,0600,2.1,55,124
20250630,0500,VEC,20250701,0600,217,55,124
20250630,0500,WSD,20250701,0600,2.6,55,124
20250630,0500,SKY,20250701,0600,4,55,124
20250630,0500,PTY,20250701,0600,0,55,124
20250630,0500,POP,20250701,0600,30,55,124
20250630,0500,WAV,20250701,0600,-999,55,124
20250630,0500,PCP,20250701,0600,강수없음,55,124
20250630,0500,REH,20250701,0600,95,55,124
20250630,0500,SNO,20250701,0600,적설없음,55,124
20250630,0500,TMN,20250701,0600,23.0,55,124
20250630,0500,TMP,20250701,0700,24,55,124
20250630,0500,UUU,20250701,0700,1.7,55,124
20250630,0500,VVV,20250701,0700,2,55,124
20250630,0500,VEC,20250701,0700,220,55,124
20250630,0500,WSD,20250701,0700,2.6,55,124
20250630,0500,SKY,20250701,0700,4,55,124
20250630,0500,PTY,20250701,0700,0,55,124
20250630,0500,POP,20250701,0700,30,55,124
20250630,0500,WAV,20250701,0700,-999,55,124
20250630,0500,PCP,20250701,0700,강수없음,55,124
20250630,0500,REH,20250701,0700,90,55,124
20250630,0500,SNO,20250701,0700,적설없음,55,124
20250630,0500,TMP,20250701,0800,24,55,124
20250630,0500,UUU,20250701,0800,1.7,55,124
20250630,0500,VVV,20250701,0800,2,55,124
20250630,0500,VEC,20250701,0800,220,55,124
20250630,0500,WSD,20250701,0800,2.6,55,124
20250630,0500,SKY,20250701,0800,4,55,124
20250630,0500,PTY,20250701,0800,1,55,124
20250630,0500,POP,20250701,0800,60,55,124
20250630,0500,WAV,20250701,0800,-999,55,124
20250630,0500,PCP,20250701,0800,1mm 미만,55,124
20250630,0500,REH,20250701,0800,95,55,124
20250630,0500,SNO,20250701,0800,적설없음,55,124
20250630,0500,TMP,20250701,0900,25,55,124
20250630,0500,UUU,20250701,0900,1.5,55,124
20250630,0500,VVV,20250701,0900,2,55,124
20250630,0500,VEC,20250701,0900,217,55,124
20250630,0500,WSD,20250701,0900,2.5,55,124
20250630,0500,SKY,20250701,0900,4,55,124
20250630,0500,PTY,20250701,0900,0,55,124
20250630,0500,POP,20250701,0900,30,55,124
20250630,0500,WAV,20250701,0900,-999,55,124
20250630,0500,PCP,20250701,0900,강수없음,55,124
20250630,0500,REH,20250701,0900,90,55,124
20250630,0500,SNO,20250701,0900,적설없음,55,124
20250630,0500,TMP,20250701,1000,25,55,124
20250630,0500,UUU,20250701,1000,1.2,55,124
20250630,0500,VVV,20250701,1000,2.2,55,124
20250630,0500,VEC,20250701,1000,209,55,124
20250630,0500,WSD,20250701,1000,2.5,55,124
